feature	ANAEROFRUCAT.PWY..homolactic.fermentation	ANAGLYCOLYSIS.PWY..glycolysis.III..from.glucose.	ARO.PWY..chorismate.biosynthesis.I	COA.PWY.1..coenzyme.A.biosynthesis.II..mammalian.	COA.PWY..coenzyme.A.biosynthesis.I	COMPLETE.ARO.PWY..superpathway.of.aromatic.amino.acid.biosynthesis	DENOVOPURINE2.PWY..superpathway.of.purine.nucleotides.de.novo.biosynthesis.II	DTDPRHAMSYN.PWY..dTDP.L.rhamnose.biosynthesis.I	HISTSYN.PWY..L.histidine.biosynthesis	PANTO.PWY..phosphopantothenate.biosynthesis.I	PANTOSYN.PWY..pantothenate.and.coenzyme.A.biosynthesis.I	PEPTIDOGLYCANSYN.PWY..peptidoglycan.biosynthesis.I..meso.diaminopimelate.containing.	PHOSLIPSYN.PWY..superpathway.of.phospholipid.biosynthesis.I..bacteria.	PWY.1042..glycolysis.IV..plant.cytosol.	PWY.2942..L.lysine.biosynthesis.III	PWY.3001..superpathway.of.L.isoleucine.biosynthesis.I	PWY.3841..folate.transformations.II	PWY.4242..pantothenate.and.coenzyme.A.biosynthesis.III	PWY.5097..L.lysine.biosynthesis.VI	PWY.5154..L.arginine.biosynthesis.III..via.N.acetyl.L.citrulline.	PWY.5667..CDP.diacylglycerol.biosynthesis.I	PWY.5686..UMP.biosynthesis
ESM5MECQ	210.322	467.195	498.732	462.872	383.961	492.769	422.69	556.977	393.469	378.366	376.682	496.836	122.458	732.669	379.964	377.884	431.19	394.102	397.883	350.064	468.964	539.033
ESM5MED2	163.449	277.777	392.747	396.394	380.609	408.078	160.84	1188.95	538.598	394.262	403.492	710.928	286.14	844.309	616.122	288.661	425.625	342.758	619.297	303.537	292.109	773.383
ESM5MEDD	227.073	368.808	420.621	534.663	428.033	414.522	304.404	868.085	439.231	447.807	437.637	508.781	237.833	568.49	489.742	437.244	506.802	434.584	435.09	264.313	447.863	563.702
ESM5MEDF	301.249	375.186	473.994	495.211	415.942	461.853	165.208	512.541	329.725	406.132	407.491	486.548	73.7781	593.874	392.236	318.062	417.806	430.952	447.31	137.795	386.326	538.315
ESM5MEDK	241.739	364.6	419.546	530.018	434.49	405.675	267.689	785.864	445.916	451.782	443.547	497.715	268.231	493.927	460.213	430.568	484.938	445.356	437.003	280.438	459.815	539.794
ESM5MEDN	165.298	297.914	336.083	447.813	347.167	335.382	270.328	733.483	389.699	374.246	361.412	419.348	120.4	529.981	417.457	423.164	402.979	349.883	384.433	239.863	386.383	489.136
ESM5MEDP_P	104.624	293.507	223.982	412.159	361.072	231.072	189.573	670.654	386.389	355.214	356.596	372.719	129.392	397.325	415.817	355.819	423.342	362.122	365.324	133.125	378.641	409.139
ESM5MEDU	236.599	362.62	359.127	450.198	381.858	360.903	365.792	607.582	399.92	394.175	386.154	477.514	233.957	696.104	416.575	381.645	472.179	376.497	423.562	207.859	435.861	513.86
ESM5MEDZ_P	85.3841	219.164	200.854	194.295	179.752	204.061	177.577	258.764	183.369	196.342	184.527	222.647	118.124	289.283	206.432	170.08	218.831	182.011	197.65	107.61	219.946	246.289
ESM5MEE2_P	149.065	395.319	360.414	414.74	346.27	368.543	332.625	468.093	344.476	361.614	342.644	413.096	186.831	564.477	361.137	286.165	399.784	347.101	359.664	221.892	398.641	452.984
ESM5MEE6_P	198.415	397.43	412.643	415.677	349.19	406.514	351.969	467.759	331.819	337.857	329.886	423.024	179.42	558.098	338.461	313.194	377.415	363.818	353.074	289.73	423.246	487.949
ESM5MEEJ_P	195.05	377.836	339.628	389.758	346.936	335.711	295.129	464.411	359.825	331.381	331.316	373.415	199.156	517.552	342.102	271.815	390.467	349.957	344.558	219.763	363.174	423.889
ESM718SY	255.43	389.573	342.606	465.937	403.982	343.807	361.888	633.561	410.811	423.513	418.564	485.203	243.336	683.566	428.037	425.285	509.787	400.072	426.682	167.119	463.976	512.606
ESM718T7	94.1754	213.136	361.093	455.714	349.752	376.642	157.668	1281.28	561.255	430.927	384.239	796.522	286.916	882.889	650.92	276.321	445.556	328.103	644.702	345.527	287.247	808.379
ESM718T9	110.544	211.364	395.26	456.498	456.498	411.585	199.357	1230.64	600.331	364.469	428.273	900.437	283.018	964.972	752.674	308.095	477.541	356.841	736.087	271.706	288.163	916.922
ESM718TF	96.9705	117.626	384.558	450.125	450.808	393.19	278.285	1150.92	508.577	369.63	427.032	891.837	264.254	865.398	685.85	283.219	455.25	372.722	661.727	291.057	249.486	799.606
ESM718TK	90.893	132.806	395.878	453.631	456.587	420.699	183.27	1607.65	760.771	282.869	376.346	1157.64	253.506	1164.1	890.168	226.223	478.611	296.06	786.441	229.053	215.762	1027.75
ESM718TM	77.9718	121.553	311.159	394.452	394.452	331.549	223.248	1257.97	566.92	344.628	395.389	794.204	191.886	922.966	698.95	282.673	455.079	322.047	678.363	144.423	258.345	801.697
ESM718U9_P	51.8695	73.4492	78.6814	73.0533	65.7334	76.228	65.9675	108.272	63.2228	77.563	71.2475	76.9621	56.3543	89.1944	86.5723	84.9059	81.6726	58.2007	73.7002	42.8316	66.7372	75.9098
