feature	ANAEROFRUCAT.PWY..homolactic.fermentation	ANAGLYCOLYSIS.PWY..glycolysis.III..from.glucose.	ARO.PWY..chorismate.biosynthesis.I	COA.PWY.1..coenzyme.A.biosynthesis.II..mammalian.	COA.PWY..coenzyme.A.biosynthesis.I	COMPLETE.ARO.PWY..superpathway.of.aromatic.amino.acid.biosynthesis	DENOVOPURINE2.PWY..superpathway.of.purine.nucleotides.de.novo.biosynthesis.II	DTDPRHAMSYN.PWY..dTDP.L.rhamnose.biosynthesis.I	HISTSYN.PWY..L.histidine.biosynthesis	PANTO.PWY..phosphopantothenate.biosynthesis.I	PANTOSYN.PWY..pantothenate.and.coenzyme.A.biosynthesis.I	PEPTIDOGLYCANSYN.PWY..peptidoglycan.biosynthesis.I..meso.diaminopimelate.containing.	PHOSLIPSYN.PWY..superpathway.of.phospholipid.biosynthesis.I..bacteria.	PWY.1042..glycolysis.IV..plant.cytosol.	PWY.2942..L.lysine.biosynthesis.III	PWY.3001..superpathway.of.L.isoleucine.biosynthesis.I	PWY.3841..folate.transformations.II	PWY.4242..pantothenate.and.coenzyme.A.biosynthesis.III	PWY.5097..L.lysine.biosynthesis.VI	PWY.5154..L.arginine.biosynthesis.III..via.N.acetyl.L.citrulline.	PWY.5667..CDP.diacylglycerol.biosynthesis.I	PWY.5686..UMP.biosynthesis
CSM5MCUC_P	-5.36387004660852	-4.6795229170625	-4.76984977985391	-4.16477060885579	-4.38373964150638	-4.72746349189128	-5.22953416233365	-3.82634402086547	-4.17267684294068	-4.28452538456768	-4.38424813701948	-4.24864815654689	-5.52021355357734	-4.63285041531892	-4.19527484599375	-4.35778969643994	-4.11660115945776	-4.36551603592499	-4.27372821067666	-5.37880302676112	-4.29242426018146	-4.16230896602451
CSM5MCUE_P	-5.39478218179448	-4.63516115018396	-4.5668785741618	-4.17549406667203	-4.4077844833488	-4.5377398799498	-4.69096663104179	-4.01419068975596	-4.27456846096386	-4.26403416642717	-4.33400786461937	-4.22187293873547	-6.09168038662699	-4.29392381656665	-4.19304089172687	-4.40409462403056	-4.14649728947139	-4.52721729403934	-4.3941850211765	-5.17182648296661	-4.627959109027	-4.11588859367013
CSM5MCUG_P	-6.33469096417345	-5.13424438289632	-4.54856070854296	-4.19880622752906	-4.39182253518327	-4.53223666464404	-4.73432052339783	-3.77860863452337	-4.46572866834853	-4.43974687818531	-4.44779263236688	-4.10888067658836	-6.14920716548815	-3.83676971570642	-4.25626673206324	-4.66469244438101	-4.29111278729942	-4.39525858666581	-4.26529782874301	-5.20686414370137	-4.37012736632951	-3.97300108930586
CSM5MCUK_P	-6.13620031006216	-4.93499170619138	-4.61374621800693	-4.18479858737144	-4.37934015172387	-4.61065869243711	-4.70905608410448	-3.77372469462233	-4.58511987567181	-4.55008991850962	-4.53239879532479	-4.14418765234872	-5.29980128594928	-3.80375547340105	-4.40775575064103	-4.67942209552326	-4.20131448703639	-4.39206243595928	-4.37557344612868	-5.22083834413101	-4.29976394396693	-4.01303543508005
CSM5MCUO	-5.65551267492434	-4.41973715326013	-4.44680679538106	-4.27217173199776	-4.48465161735082	-4.46377373656989	-4.72573025231833	-3.94127627609331	-4.52187945250555	-4.71713473006677	-4.63090971303908	-4.18460061553972	-5.93190668064164	-3.79419433687558	-4.43677623305824	-4.48514839024823	-4.37024483486473	-4.45812457368943	-4.3312432261859	-4.93072537486363	-4.40722245151373	-3.98117637275054
CSM5MCUQ_P	-5.25599343757488	-4.65607466035075	-4.53676313363914	-4.27655948801424	-4.43085523130134	-4.60092573611646	-4.68083387754227	-3.782280859868	-4.63166073040652	-4.51588639869294	-4.51432337651049	-4.25632428806529	-5.16869083070831	-3.94183151838378	-4.52663679945249	-4.52651241802096	-4.16569733857094	-4.40272558210883	-4.45636174411312	-5.13161871444823	-4.4477635699264	-4.11851803511918
CSM5MCUS_P	-4.85036597971665	-4.57978902384742	-4.27810880935848	-4.36206766599371	-4.53770035396697	-4.40623179996766	-4.98050106830352	-3.81051412806826	-4.61358980681155	-4.5524559968742	-4.6091519334794	-4.33606580696652	-4.86656071091625	-3.99412291464384	-4.53220042768759	-4.35722956108422	-4.46728073008301	-4.47762325071315	-4.55525286640723	-4.88906412288721	-4.4387512460786	-4.19216956241862
CSM5MCUW_P	-4.85590748416803	-4.52278173380613	-4.42696586117739	-4.35078881982994	-4.54485251810789	-4.48961933058981	-4.75684545159742	-3.78631486109385	-4.67523343296623	-4.49139856902245	-4.55849052012085	-4.33559016417613	-4.74607976291501	-3.93695837163141	-4.56410757144032	-4.40650700204661	-4.32534393497803	-4.5357727375958	-4.55349661251714	-5.01127577371214	-4.46390353435665	-4.31612575854036
CSM5MCUY_P	-4.81582940993863	-4.47300181593532	-4.4396776736326	-4.37734892791565	-4.59733980035518	-4.49641234997886	-4.77987121032355	-3.78044506316559	-4.6778849399318	-4.49240840936793	-4.58504322610947	-4.30701905421854	-4.67564024703885	-3.92357863042287	-4.52246697759657	-4.32876254626362	-4.36963951607724	-4.5871624745728	-4.57482334403516	-5.00516424853247	-4.43471611058125	-4.40561807818158
CSM5MCV1_P	-4.8014502680819	-4.47694226726696	-4.53008899608512	-4.49737994537034	-4.62742809013181	-4.54450934732358	-4.60485845971193	-3.82914626403136	-4.88713986810347	-4.48343424193335	-4.63513476906706	-4.30093261328502	-4.44399942793077	-3.63093075148559	-4.56117628972557	-4.28551722395587	-4.57674221200417	-4.73739337351507	-4.59652042050147	-4.82128711119132	-4.34984241758566	-4.57350417487995
CSM5MCV5_P	-5.10442425385152	-4.47169380546027	-4.61797921783274	-4.22755779911956	-4.50268667964395	-4.60660125533581	-4.68623018599355	-3.96423647624347	-4.49290308096089	-4.50168390931573	-4.56024742238329	-4.24298627792596	-5.22435535922636	-3.84247395546978	-4.4430834370473	-4.46801465622362	-4.24852538416744	-4.53018563522105	-4.45015511178321	-5.48102583963159	-4.3712993832546	-4.05952378361642
CSM5MCVB_P	-5.06465754764978	-4.59047032711747	-4.53658798073908	-4.4046246755249	-4.58295575038143	-4.53400549341645	-4.74265046626041	-3.88500882594982	-4.87378154236906	-4.42436419291461	-4.55456488097829	-4.14043473528358	-4.53528760797727	-3.52171246576711	-4.40589579091889	-4.63443730623	-4.47137590116527	-4.64129272195418	-4.54734376906949	-5.13004020429377	-4.3821288512888	-4.4302039364803
CSM5MCVD_P	-5.34946563227468	-4.57188943697327	-5.37403951373669	-4.2968037404251	-4.37497833052863	-5.25397575085788	-5.03513159292561	-3.77591128220342	-4.3160743686634	-4.29554071437682	-4.34452187180003	-4.06336678200504	-6.21002154702231	-3.60940547862517	-4.22442566414976	-4.56325093839795	-4.12964819792776	-4.43516660859205	-4.28091885682898	-6.03610715456839	-4.26421621572813	-4.13138899687402
CSM5MCVF_P	-5.22093458662981	-4.38038354070588	-5.25821167071194	-4.27318405235281	-4.34344719932361	-5.16893004025225	-4.96464087926959	-3.58353075662027	-4.31207995152564	-4.30354896540959	-4.3424850125183	-4.21466702500574	-6.20829121143901	-4.12304115112865	-4.21283618271341	-4.37389003545851	-4.12997314006987	-4.38746950972342	-4.27120324152722	-5.6792026052439	-4.36724049026199	-4.23883046545086
CSM5MCVJ_P	-5.46004063263058	-4.23381531364968	-5.19343870326021	-4.46614165969325	-4.53774362729825	-5.1076077066048	-4.94509814263737	-3.34654647813036	-4.34287401541169	-4.40029061191933	-4.47068523514559	-4.20494744268003	-7.17082922841982	-3.64954256439991	-4.25818085108368	-4.48460540807193	-4.02519930793062	-4.59511307067438	-4.30246539149783	-6.39823667387064	-4.29969327696165	-4.23468300189757
CSM5MCVL	-5.13351604681251	-4.26276491046427	-4.88230304911279	-4.45070371335453	-4.60087969515312	-4.82255627476455	-4.80634535825177	-3.54411116402461	-4.36355770914945	-4.44555992142779	-4.50598337760989	-4.24915144502283	-6.13169872277417	-3.68000170085942	-4.29278816805907	-4.54059346697706	-4.12004774005096	-4.64737128230927	-4.3418160143902	-6.16412798332152	-4.28763168873024	-4.25013357448824
CSM5MCVN	-5.03959318680308	-4.32911039977898	-4.86652179373333	-4.37069572058426	-4.53894449254254	-4.81220520682748	-4.68059153926135	-3.63435552128754	-4.31815715582539	-4.48030490561382	-4.51449244429414	-4.28346918855221	-6.18798348549773	-3.70934009824037	-4.29432673337734	-4.69648231309335	-4.09814123118204	-4.57179875426995	-4.32252426032965	-6.11596744238746	-4.32461771088648	-4.19456099481632
CSM5MCVV_P	-4.97878813819117	-4.44405541283689	-4.68404356460629	-4.3605401621831	-4.58275330069699	-4.6645608131061	-4.74138027487429	-3.6078990102847	-4.56089042875493	-4.5349040668935	-4.56627493495289	-4.33466348541309	-5.23649738872656	-3.67026091520064	-4.4223132293877	-4.43806391051255	-4.38579871804303	-4.62668151139603	-4.45560177934456	-5.26950756135675	-4.38097122691606	-4.28578326012282
CSM5MCVZ_P	-6.80075234242413	-5.81233041670549	-4.96046921756145	-4.2453435390848	-4.32173875240518	-4.90447678035853	-4.72209776577611	-3.29209416636868	-4.37139682760811	-4.32804270155099	-4.33412597434169	-4.09256779843767	-7.20036802768355	-3.25408844167134	-4.33957835098768	-6.32083746228973	-4.14678144205034	-4.3841871892812	-4.4025203178284	-5.86963791509821	-4.17101264142349	-4.03595070533732
CSM5MCW4_P	-7.47916516972574	-5.95687805801751	-4.94582146576954	-4.21742814997955	-4.3040069131684	-4.89238398427	-4.99153391527868	-3.2812225512288	-4.26740010974711	-4.33439931446506	-4.32554908830493	-4.14846146872334	-9.83872862827551	-3.22775167093395	-4.24053796696877	-5.75481480360746	-4.13649592436069	-4.34523272379373	-4.34435188280222	-6.01331868474259	-4.19707380787001	-4.03034227842898
CSM5MCW6	-6.60011674837748	-4.72086044768893	-4.7397667956787	-4.29382950508177	-4.39440560554478	-4.7132930263648	-4.56965818996502	-3.49346052310555	-4.40495271981473	-4.45578701982543	-4.40917118621453	-4.14557825397659	-8.4431731233598	-3.34172783519201	-4.37518378619185	-5.23210923500186	-4.27828347640172	-4.41198386333566	-4.40406006502523	-5.46230994091216	-4.451898071943	-4.05823991030558
CSM5MCWA_P	-4.66784878594378	-4.45001981734781	-4.30530314638324	-4.39024536865964	-4.57135758842767	-4.33452929843353	-4.61779774838381	-4.89107728440408	-4.66387618902793	-4.76102648322473	-4.78552095331322	-4.19501427779997	-4.55096501587684	-3.88355173116219	-4.63004458617337	-4.19413606243238	-4.33235117115183	-4.5501017597451	-4.46268218828493	-4.69370082985944	-4.3923465965627	-4.21005834788864
CSM5MCWC	-5.22829048484595	-5.04241246033694	-4.08044134265173	-4.33944770013385	-4.44716028747987	-4.046761956113	-5.47187234341898	-3.58137335185703	-4.81962993723504	-4.47899150039533	-4.46143969362583	-4.18431057633158	-4.77260295341521	-3.82366654113148	-5.06219596874689	-4.73786766696171	-4.37016541261713	-4.38547878838903	-4.36286934352985	-6.03651753991734	-4.36376252832754	-4.10349632330219
CSM5MCWE	-4.61128561816486	-4.48473775948701	-4.27992750355898	-4.45612778739993	-4.53247608737174	-4.25933054807255	-4.76289733158991	-4.37468667779545	-4.94627028925774	-4.94533590969729	-4.8024145829314	-4.2277206202127	-4.42295331929088	-3.89570453695166	-4.41546318764393	-4.40027667029159	-4.4903609607208	-4.48908241758632	-4.33790530088757	-4.73570710677507	-4.38999892452911	-4.29056434102773
CSM5MCWG	-4.30717206801747	-4.11219540825093	-4.50265896952893	-4.9212711195793	-4.95979259526908	-4.46883053774394	-4.39642361375886	-4.52929012670923	-5.30358807687119	-4.71242251323221	-4.95744331403396	-4.36498813745359	-4.09761417952734	-3.70576038371191	-4.44696105946853	-3.94404773685501	-5.16969949260468	-5.02963195363502	-4.48764907135765	-4.30290350556524	-3.95092397058912	-4.71342060859819
CSM5MCWI_P	-5.31138724977318	-4.37732296692011	-5.14110184955303	-4.40553337457437	-4.41878364321735	-5.051913733803	-5.05234197879883	-3.54627352078618	-4.26932518507799	-4.39637582989708	-4.41092106961433	-4.18981920789568	-6.14576804097736	-3.96012996335006	-4.25154506916218	-4.36938195675664	-4.14951537062764	-4.47597118175072	-4.29187417935047	-5.64474039591202	-4.29348808996379	-4.18910970430096
CSM5MCWK_P	-5.35269610568931	-4.5080216754674	-4.58144022121584	-4.31579480869827	-4.51431947198365	-4.58653009922312	-4.60439145320673	-3.49154834480399	-4.54013220464043	-4.44838675102956	-4.53206734795781	-4.294636582573	-5.31046166959494	-3.9328206212304	-4.46317361094874	-4.54395875962287	-4.3129813086196	-4.52800385478739	-4.46995454515505	-5.4741621408023	-4.44543843074173	-4.17969802547077
CSM5MCWM_P	-5.15185602274754	-4.43787094696204	-4.88281111999185	-4.37730718228231	-4.51428404831054	-4.85646104470927	-4.93996662273281	-3.25796356202217	-4.37009940160764	-4.41047283782444	-4.49398351732446	-4.24186881122757	-5.69882127296877	-3.85719231705992	-4.44009439429577	-4.56064054395996	-4.33786729481351	-4.53788399509148	-4.49724775795591	-5.66946407436519	-4.29507128635348	-4.27495062516454
CSM5MCWQ	-4.97884921062459	-4.43558170210196	-4.51340442018174	-4.34056197726952	-4.61222163727862	-4.57943549073571	-4.8768628682746	-3.39661906852519	-4.48231793440699	-4.60456520198337	-4.60176384016109	-4.38331982971803	-4.98678735078886	-4.11128905616696	-4.47936845660843	-4.51889195373281	-4.46581564205807	-4.57302243996217	-4.44487703938271	-5.16819921779217	-4.28213799640303	-4.26405610913974
CSM5MCX3	-5.36195661689013	-4.47657697384437	-4.36117863473418	-4.41065978004131	-4.63139765981857	-4.38152364137417	-4.77276166804336	-3.83695734166105	-4.53142884789651	-4.58769749074992	-4.61681902202625	-4.25131917613164	-5.56874734062563	-3.76726263380591	-4.34790522291156	-4.58811963773027	-4.44884772453252	-4.59584072981528	-4.3161394745532	-4.98882057234014	-4.33767065827513	-4.09230511658405
CSM5MCXB_P	-5.12013017215961	-4.29601160585582	-4.3128003044304	-4.32963457665546	-4.45057736623706	-4.34314934336741	-5.04750441136174	-4.19783229808729	-4.42640417144768	-4.54733949543586	-4.529556732551	-4.24411668783351	-5.1814989456562	-3.95653266220669	-4.59684656144434	-4.63597853628072	-4.34462989500289	-4.40099931075796	-4.49880987653106	-5.05467239619547	-4.35853219973858	-4.00966556900529
CSM5MCXD	-4.9134465798771	-4.39631697142114	-4.70205530849163	-4.31383344182107	-4.5318451632083	-4.68736499920474	-4.66962962415121	-3.94300938062622	-4.43065002469631	-4.48191674408968	-4.52535348031536	-4.28658754733046	-5.21848556523359	-3.76381325035412	-4.36370096464383	-4.73858197467562	-4.28606942265548	-4.53227559067728	-4.38953031392575	-5.39652355868642	-4.32582079965439	-4.15340577056267
CSM5MCXF_P	-5.19577385317838	-4.54193998611088	-4.29763057000217	-4.33673864802301	-4.50585647760308	-4.37821344302838	-4.74810169193624	-3.67633366595011	-4.34880260478855	-4.5388870210948	-4.53380823524823	-4.30469602781424	-5.41998394433914	-3.92725895192027	-4.6530852069946	-4.52908379142728	-4.3400414474999	-4.49000420691254	-4.61453315656295	-5.20344191934717	-4.30601771073805	-4.27903090599105
CSM5MCXH	-5.33143942101568	-4.38765604647328	-4.90676719635033	-4.22647306628867	-4.47627796549409	-4.84982015582947	-5.26694608452446	-3.67536897573235	-4.23647993152693	-4.36453197993229	-4.4356463855323	-4.21584519245093	-5.80352950824063	-4.09735003407386	-4.17966784854409	-4.41126561759887	-4.15123629004508	-4.47906784269499	-4.29054346313877	-5.5242391901401	-4.3533671103373	-4.21653513311929
CSM5MCXJ	-5.12803483733862	-4.53998726316595	-4.86275725719112	-4.20494289159548	-4.57225104620793	-4.81393969192502	-5.08093439787323	-3.73272333354927	-4.21580043992827	-4.34657046383159	-4.46436639513265	-4.25309437692772	-5.39460359271704	-4.23691702953128	-4.21019304284196	-4.40030559085632	-4.16401493035526	-4.57120363250032	-4.26091411048749	-5.44985143392947	-4.25554790739735	-4.22895486910109
CSM5MCXL	-5.23179681785257	-4.55518612853259	-4.69586924357883	-4.2325148448884	-4.51333835686983	-4.65823062599216	-4.87566802545409	-3.85527352780379	-4.3354833556555	-4.37103473226475	-4.46576922016854	-4.27822286091981	-5.20916037386425	-4.03351384426523	-4.18340732568915	-4.4278089393772	-4.20919881265494	-4.507047173396	-4.30239475735432	-5.75740075492775	-4.38745217463452	-4.23017581201811
CSM5MCXN	-5.08936478823649	-4.51069188731259	-4.21367388055155	-4.18306920649012	-4.4160338263226	-4.34917548757734	-5.194768738623	-3.92907020541838	-4.39616446062498	-4.6753755489984	-4.58973313167509	-4.29756221276684	-5.74589993346816	-3.88785250146977	-4.70797600712317	-4.58767532972459	-4.42078842022865	-4.33424745388029	-4.42345428218897	-5.03436822638194	-4.40162883323709	-3.98362009411536
